Name,Rank,Sector,User Rating
"Central University of Punjab, Bathinda",M.Sc Tissue Engineering and Regenerative Medicine,Public/Govt,https://www.careers360.com/university/central-university-of-punjab-bathinda?icn=college_page&ici=clg_721_college_listing_tuple
"Central University of Tamil Nadu, Thiruvarur",B.Arch,Public/Govt,https://www.careers360.com/university/central-university-of-tamil-nadu-thiruvarur?icn=college_page&ici=clg_956_college_listing_tuple
"Chandigarh University - Chandigarh University, Chandigarh",MBA,Private,https://www.careers360.com/university/chandigarh-university-chandigarh?icn=college_page&ici=clg_326_college_listing_tuple
"Chettinad Academy of Research and Education, Kelambakkam",MBBS,Private,https://www.careers360.com/university/chettinad-academy-of-research-and-education-kelambakkam?icn=college_page&ici=clg_960_college_listing_tuple
"Christ University - Christ University, Bangalore",B.Tech Computer Science and Engineering,Private,https://www.careers360.com/university/christ-university-bangalore?icn=college_page&ici=clg_102_college_listing_tuple
"College of Engineering, Guindy",BE Artifical Intelligence and Data Science,Public/Govt,https://www.careers360.com/colleges/college-of-engineering-guindy?icn=college_page&ici=clg_2450_college_listing_tuple
"College of Engineering, Guindy",B.Tech Computer Science and Engineering,Public/Govt,https://www.careers360.com/colleges/college-of-engineering-guindy?icn=college_page&ici=clg_2450_college_listing_tuple
"DPU Pune - Dr DY Patil Vidyapeeth, Pune",B.Tech Electrical Engineering,Private,https://www.careers360.com/university/dr-dy-patil-vidyapeeth-pune?icn=college_page&ici=clg_974_college_listing_tuple
"DTU Delhi - Delhi Technological University, Delhi",MA Assamese,Public/Govt,https://www.careers360.com/university/delhi-technological-university-delhi?icn=college_page&ici=clg_97_college_listing_tuple
"DU Delhi - University of Delhi, Delhi",MA Punjabi,Public/Govt,https://www.careers360.com/university/university-of-delhi-delhi?icn=college_page&ici=clg_873_college_listing_tuple
"Datta Meghe Institute of Higher Education and Research, Wardha",MBA,Private,https://www.careers360.com/university/datta-meghe-institute-of-higher-education-and-research-wardha?icn=college_page&ici=clg_752_college_listing_tuple
"Dr DY Patil University, Navi Mumbai",MBBS,Private,https://www.careers360.com/university/dr-dy-patil-university-navi-mumbai?icn=college_page&ici=clg_749_college_listing_tuple
"Educational Multimedia Research Centre, DAVV, Indore",BE Civil Engineering,Public/Govt,https://www.careers360.com/colleges/educational-multimedia-research-centre-davv-indore?icn=college_page&ici=clg_2433_college_listing_tuple
"Elenki Engineering College, Siddipet",BE Computer Science and Engineering,Private,https://www.careers360.com/colleges/elenki-engineering-college-siddipet?icn=college_page&ici=clg_2913_college_listing_tuple
"Elenki Engineering College, Siddipet",BE Civil Engineering,Private,https://www.careers360.com/colleges/elenki-engineering-college-siddipet?icn=college_page&ici=clg_2913_college_listing_tuple
"GGSIPU Delhi - Guru Gobind Singh Indraprastha University, Delhi",MBBS,Public/Govt,https://www.careers360.com/university/guru-gobind-singh-indraprastha-university-delhi?icn=college_page&ici=clg_362_college_listing_tuple
